date,day,waitTime
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,150
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,110
6/1/2017,Thursday,110
6/1/2017,Thursday,150
6/1/2017,Thursday,110
6/1/2017,Thursday,115
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,115
6/1/2017,Thursday,115
6/1/2017,Thursday,115
6/1/2017,Thursday,115
6/1/2017,Thursday,125
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,150
6/1/2017,Thursday,90
6/1/2017,Thursday,90
6/1/2017,Thursday,90
6/1/2017,Thursday,110
6/1/2017,Thursday,110
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,180
6/1/2017,Thursday,75
